# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
800000 800000 800000 341.198 -209.908 102703 0.983062 -29610.5 -36474.5
800050 800050 800050 337.531 10.6698 102687 0.983217 -29655 -36445.3
800100 800100 800100 341.408 -230.106 102665 0.983429 -29761 -36629.2
800150 800150 800150 332.149 -16.7549 102621 0.983847 -29847 -36529
800200 800200 800200 332.558 -132.629 102561 0.984419 -29907.8 -36598
800250 800250 800250 329.807 159.624 102485 0.985153 -29980 -36614.9
800300 800300 800300 333.115 299.028 102437 0.985618 -30055.3 -36756.7
800350 800350 800350 330.658 142.225 102434 0.985639 -30135.3 -36787.3
800400 800400 800400 327.848 229.482 102457 0.985419 -30197.3 -36792.8
800450 800450 800450 332.94 -149.773 102504 0.984973 -30229 -36926.9
800500 800500 800500 327.001 -269.012 102534 0.984684 -30252.9 -36831.3
800550 800550 800550 327.573 -417.973 102528 0.984743 -30249.8 -36839.8
800600 800600 800600 329.237 -166.908 102467 0.985322 -30202.7 -36826.2
800650 800650 800650 334.826 243.975 102386 0.986104 -30134.5 -36870.3
800700 800700 800700 333.217 327.714 102337 0.986577 -30106 -36809.5
800750 800750 800750 333.623 -4.89479 102330 0.986641 -30114.5 -36826.1
800800 800800 800800 327.441 167.561 102339 0.986553 -30167.4 -36754.7
800850 800850 800850 330.136 -100.081 102364 0.986314 -30268 -36909.5
800900 800900 800900 329.963 -446.542 102387 0.986093 -30343.9 -36981.9
800950 800950 800950 329.652 -352.933 102354 0.986411 -30363 -36994.7
801000 801000 801000 322.554 -31.4181 102258 0.987338 -30358.1 -36847.1
801050 801050 801050 329.419 305.979 102143 0.988453 -30324.5 -36951.5
801100 801100 801100 330.68 266.212 102067 0.98919 -30276.9 -36929.3
801150 801150 801150 331.691 468.468 102035 0.989494 -30255.8 -36928.6
801200 801200 801200 334.831 -122.539 102065 0.98921 -30258.6 -36994.5
801250 801250 801250 329.453 -33.3579 102107 0.988795 -30289.4 -36917.2
801300 801300 801300 329.065 236.278 102164 0.988245 -30311.7 -36931.7
801350 801350 801350 331.967 49.4786 102267 0.987256 -30326.2 -37004.5
801400 801400 801400 330.684 -177.443 102395 0.986015 -30325.8 -36978.4
801450 801450 801450 325.911 -6.98747 102517 0.984846 -30294.6 -36851.1
801500 801500 801500 334.516 -348.723 102646 0.983608 -30195.3 -36924.9
801550 801550 801550 326.942 -155.757 102754 0.982578 -30122.5 -36699.8
801600 801600 801600 334.393 -339.5 102832 0.981824 -30082.2 -36809.3
801650 801650 801650 333.2 -308.571 102865 0.981516 -30058.5 -36761.6
