# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
1000000 1e+06 1e+06 327.972 -263.129 101945 0.990369 -30633.4 -37231.4
1000050 1.00005e+06 1.00005e+06 330.782 50.2361 101929 0.990528 -30677.2 -37331.7
1000100 1.0001e+06 1.0001e+06 325.785 151.593 101918 0.99063 -30778.7 -37332.7
1000150 1.00015e+06 1.00015e+06 322.109 -359.172 101923 0.990587 -30838 -37318
1000200 1.0002e+06 1.0002e+06 323.674 -199.841 101879 0.991016 -30879.7 -37391.2
1000250 1.00025e+06 1.00025e+06 321.057 37.8252 101801 0.991777 -30931.9 -37390.8
1000300 1.0003e+06 1.0003e+06 318.118 83.5438 101721 0.99255 -30987.7 -37387.5
1000350 1.00035e+06 1.00035e+06 322.888 44.5449 101658 0.993167 -31034.6 -37530.3
1000400 1.0004e+06 1.0004e+06 322.409 -139.831 101614 0.993601 -31087 -37573.1
1000450 1.00045e+06 1.00045e+06 316.988 43.0865 101568 0.99405 -31131.8 -37508.8
1000500 1.0005e+06 1.0005e+06 315.036 35.9594 101523 0.994492 -31142.8 -37480.5
1000550 1.00055e+06 1.00055e+06 318 -113.281 101471 0.994998 -31123 -37520.4
1000600 1.0006e+06 1.0006e+06 322.639 168.796 101411 0.995587 -31080.6 -37571.2
1000650 1.00065e+06 1.00065e+06 323.985 404.234 101390 0.995796 -31022.9 -37540.7
1000700 1.0007e+06 1.0007e+06 324.299 415.59 101436 0.99534 -30955.7 -37479.8
1000750 1.00075e+06 1.00075e+06 326.699 313.137 101547 0.994257 -30885.4 -37457.7
1000800 1.0008e+06 1.0008e+06 326.636 -108.779 101703 0.992725 -30849.5 -37420.6
1000850 1.00085e+06 1.00085e+06 318.807 135.628 101860 0.991193 -30856.2 -37269.7
1000900 1.0009e+06 1.0009e+06 320.948 -112.294 102016 0.989685 -30907.4 -37364.1
1000950 1.00095e+06 1.00095e+06 321.307 -285.184 102141 0.988473 -31014.1 -37478
1001000 1.001e+06 1.001e+06 321.256 -358.879 102220 0.987705 -31079.2 -37542
1001050 1.00105e+06 1.00105e+06 318.719 -446.992 102245 0.987462 -31088.1 -37500
1001100 1.0011e+06 1.0011e+06 320.144 -455.119 102198 0.987918 -31082.3 -37522.8
1001150 1.00115e+06 1.00115e+06 317.034 41.0457 102082 0.989046 -31080.7 -37458.6
1001200 1.0012e+06 1.0012e+06 320.362 -9.82769 101937 0.99045 -31085.4 -37530.3
1001250 1.00125e+06 1.00125e+06 319.854 156.614 101785 0.991925 -31111.7 -37546.4
1001300 1.0013e+06 1.0013e+06 319.407 -127.922 101652 0.993222 -31169.5 -37595.1
1001350 1.00135e+06 1.00135e+06 315.933 59.7306 101513 0.99459 -31240.3 -37596
