# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
200000 200000 200000 369.204 -271.647 105300 0.958817 -27475.4 -34902.9
200050 200050 200050 368 -95.4342 105270 0.959089 -27536.5 -34939.8
200100 200100 200100 368.859 -148.183 105210 0.959635 -27654.6 -35075.1
200150 200150 200150 365.586 153.462 105137 0.960307 -27745.3 -35099.9
200200 200200 200200 365.163 -99.8405 105072 0.960897 -27840.6 -35186.7
200250 200250 200250 358.756 -359.44 104981 0.961732 -27932 -35149.2
200300 200300 200300 359.874 -117.783 104831 0.963103 -27997.7 -35237.5
200350 200350 200350 361.405 156.315 104658 0.964698 -28060.8 -35331.4
200400 200400 200400 358.635 508.354 104525 0.965926 -28121.8 -35336.7
200450 200450 200450 366.838 -150.05 104451 0.966608 -28192.2 -35572.1
200500 200500 200500 358.939 -36.4967 104380 0.967268 -28259.6 -35480.6
200550 200550 200550 353.504 316.942 104319 0.967832 -28294.1 -35405.7
200600 200600 200600 360.429 -122.217 104284 0.968155 -28288 -35539
200650 200650 200650 354.906 409.425 104233 0.968635 -28288.5 -35428.3
200700 200700 200700 356.12 91.2972 104210 0.968848 -28276.9 -35441.1
200750 200750 200750 358.777 -76.7206 104199 0.968951 -28235.5 -35453.2
200800 200800 200800 361.439 1.32161 104180 0.969127 -28159.8 -35431.1
200850 200850 200850 363.48 206.53 104161 0.9693 -28095.7 -35408
200900 200900 200900 365.381 467.029 104178 0.969141 -28073.8 -35424.3
200950 200950 200950 362.679 291.742 104263 0.968357 -28117 -35413.2
201000 201000 201000 363.118 -375.861 104385 0.96722 -28216.7 -35521.7
201050 201050 201050 356.334 -215.067 104470 0.966435 -28289.7 -35458.2
201100 201100 201100 354.849 81.0044 104508 0.966083 -28310.2 -35448.9
201150 201150 201150 361.506 129.209 104530 0.965878 -28305.4 -35578
201200 201200 201200 357.753 194.822 104568 0.965525 -28303.7 -35500.8
201250 201250 201250 358.761 -116.034 104634 0.964915 -28296.5 -35513.8
201300 201300 201300 355.775 -252.744 104690 0.964404 -28263.8 -35421.1
201350 201350 201350 360.935 -19.2276 104709 0.96423 -28191 -35452.1
201400 201400 201400 360.975 142.531 104724 0.964088 -28106.7 -35368.6
201450 201450 201450 367.517 136.276 104764 0.963723 -28046 -35439.5
201500 201500 201500 365.427 12.3973 104836 0.963064 -28052.1 -35403.6
201550 201550 201550 365.408 -491.551 104917 0.962321 -28104.3 -35455.4
201600 201600 201600 361.288 -289.232 104948 0.962029 -28170.4 -35438.6
201650 201650 201650 361.631 -412.612 104931 0.962191 -28205.4 -35480.5
201700 201700 201700 363.692 -312.825 104849 0.962944 -28223.3 -35539.8
201750 201750 201750 358.425 -59.7842 104722 0.964112 -28245.4 -35456.1
201800 201800 201800 358.164 218.556 104570 0.965506 -28263.1 -35468.5
201850 201850 201850 358.518 365.148 104421 0.966887 -28293.6 -35506.1
201900 201900 201900 357.111 62.7902 104304 0.967973 -28329.6 -35513.7
201950 201950 201950 356.078 209.345 104192 0.96901 -28357.6 -35521
202000 202000 202000 354.786 467.717 104099 0.969882 -28362.8 -35500.3
202050 202050 202050 358.1 603.635 104068 0.970167 -28334.8 -35538.9
202100 202100 202100 360.035 142.361 104120 0.969682 -28293.9 -35536.9
202150 202150 202150 356.961 -34.3572 104211 0.968835 -28224.5 -35405.7
202200 202200 202200 361.387 180.197 104305 0.967966 -28125.8 -35396
202250 202250 202250 363.087 215.053 104432 0.96679 -28071.5 -35375.9
