# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
0 0 0 298.578 -2076.72 103528 0.975224 -33844.6 -39851.3
50 50 50 284.245 -589.032 103394 0.976487 -33781.6 -39499.9
100 100 100 286.68 -489.007 103125 0.979039 -33669.2 -39436.5
150 150 150 288.658 -42.7269 102776 0.98236 -33567 -39374.1
200 200 200 292.775 360.071 102444 0.985544 -33445 -39334.9
250 250 250 296.45 93.4011 102192 0.987976 -33336 -39299.9
300 300 300 294.279 317.629 101993 0.989907 -33234.3 -39154.5
350 350 350 297.451 485.437 101866 0.991135 -33134.6 -39118.6
400 400 400 299.625 260.718 101842 0.991374 -33049.5 -39077.2
450 450 450 299.852 455.553 101893 0.990881 -32978.9 -39011.2
500 500 500 302.409 10.1566 102003 0.989805 -32918.4 -39002.1
550 550 550 295.366 -29.4123 102120 0.988669 -32858.8 -38800.9
600 600 600 303.243 -198.05 102206 0.987846 -32801 -38901.5
650 650 650 306.179 -54.5526 102260 0.987317 -32775.7 -38935.3
700 700 700 300.102 143.861 102315 0.986794 -32777.9 -38815.2
750 750 750 300.558 -252.841 102366 0.986294 -32787.7 -38834.1
800 800 800 294.793 -81.2406 102376 0.986206 -32792.9 -38723.4
850 850 850 299.161 116.619 102360 0.986358 -32771.2 -38789.6
900 900 900 301.073 55.0544 102360 0.986358 -32736.3 -38793.1
950 950 950 300.139 -192.297 102372 0.986242 -32706.7 -38744.8
1000 1000 1000 297.983 -47.869 102366 0.986298 -32666.1 -38660.8
1050 1050 1050 307.37 -324.169 102339 0.986554 -32612.9 -38796.5
1100 1100 1100 306.386 -177.482 102286 0.987066 -32584.9 -38748.7
1150 1150 1150 300.628 373.758 102224 0.987668 -32599.9 -38647.8
1200 1200 1200 302.183 55.8165 102202 0.987883 -32667.8 -38746.9
1250 1250 1250 298.934 -24.7398 102199 0.987909 -32760.3 -38774.1
1300 1300 1300 292.935 227.654 102200 0.9879 -32807 -38700.1
1350 1350 1350 298.714 28.0287 102211 0.987792 -32809.9 -38819.3
1400 1400 1400 300.067 278.746 102217 0.987733 -32805.5 -38842.1
1450 1450 1450 299.311 139.289 102254 0.987379 -32803.2 -38824.6
1500 1500 1500 296.497 260.547 102318 0.986762 -32791.4 -38756.2
1550 1550 1550 301.152 69.4752 102413 0.985842 -32770.2 -38828.6
1600 1600 1600 296.704 196.129 102518 0.984832 -32739.7 -38708.6
1650 1650 1650 302.582 -27.4666 102638 0.983682 -32666 -38753.2
1700 1700 1700 300.341 -259.827 102752 0.98259 -32581.8 -38623.9
1750 1750 1750 298.563 40.1477 102823 0.981919 -32535.7 -38542
1800 1800 1800 299.295 -319.805 102872 0.98145 -32515.3 -38536.4
1850 1850 1850 302.891 -437.202 102872 0.981447 -32488.2 -38581.6
1900 1900 1900 301.978 -489.958 102797 0.982164 -32466.7 -38541.8
1950 1950 1950 302.865 -297.88 102634 0.983722 -32466.6 -38559.5
2000 2000 2000 302.063 84.2521 102423 0.985752 -32489.2 -38565.9
2050 2050 2050 302.395 -67.1583 102220 0.987708 -32567.8 -38651.2
2100 2100 2100 299.546 81.2536 102022 0.98962 -32667 -38693.1
2150 2150 2150 301.917 110.627 101851 0.991283 -32712.7 -38786.5
2200 2200 2200 298.504 260.524 101720 0.99256 -32740.9 -38746
2250 2250 2250 301.792 204.794 101633 0.993409 -32760.7 -38832
2300 2300 2300 298.891 427.377 101587 0.99386 -32781 -38794
2350 2350 2350 301.66 90.6427 101610 0.993639 -32789.9 -38858.5
2400 2400 2400 296.771 163.779 101674 0.993006 -32784 -38754.3
2450 2450 2450 297.433 229.79 101764 0.992136 -32738.7 -38722.3
2500 2500 2500 302.489 5.653 101886 0.990946 -32647.9 -38733.2
2550 2550 2550 300.817 -14.2953 102020 0.989641 -32586.7 -38638.4
2600 2600 2600 298.689 -131.449 102132 0.988556 -32563.5 -38572.3
2650 2650 2650 299.108 -373.98 102204 0.987866 -32535.9 -38553.2
2700 2700 2700 302.894 -263.843 102210 0.987799 -32502.4 -38595.9
2750 2750 2750 299.632 -149.79 102173 0.988165 -32480.4 -38508.3
2800 2800 2800 299.099 -243.251 102094 0.988926 -32472.5 -38489.6
2850 2850 2850 302.712 -324.345 101972 0.990111 -32463.3 -38553.1
2900 2900 2900 299.757 69.2344 101822 0.991565 -32436 -38466.4
2950 2950 2950 305.05 74.0992 101694 0.992812 -32379.2 -38516
3000 3000 3000 301.046 125.488 101591 0.993821 -32338.3 -38394.6
3050 3050 3050 302.92 26.4661 101500 0.99471 -32323.4 -38417.3
3100 3100 3100 302.689 308.727 101426 0.995441 -32332 -38421.3
3150 3150 3150 297.956 37.4709 101395 0.995748 -32377.2 -38371.4
3200 3200 3200 300.416 9.01797 101368 0.996006 -32456 -38499.6
3250 3250 3250 298.029 8.52031 101342 0.996264 -32515.1 -38510.7
3300 3300 3300 293.09 131.329 101324 0.996446 -32531.8 -38428
3350 3350 3350 297.808 -88.2496 101314 0.996535 -32507.7 -38498.8
3400 3400 3400 297.02 -194.273 101285 0.996827 -32476.8 -38452.1
3450 3450 3450 298.273 209.295 101236 0.997305 -32438.1 -38438.6
3500 3500 3500 303.724 -98.1736 101201 0.997648 -32407.4 -38517.6
3550 3550 3550 297.264 -119.996 101153 0.998121 -32399.3 -38379.5
3600 3600 3600 303.615 119.907 101078 0.998869 -32405.5 -38513.5
3650 3650 3650 298.981 129.008 101014 0.999501 -32419 -38433.8
3700 3700 3700 298.681 40.5927 100970 0.999931 -32421.1 -38429.8
3750 3750 3750 300.538 459.652 100944 1.00019 -32421.5 -38467.6
3800 3800 3800 299.731 279.657 100981 0.999824 -32431.1 -38461
3850 3850 3850 298.421 248.623 101054 0.999107 -32456.3 -38459.8
3900 3900 3900 299.043 247.696 101154 0.99812 -32482.9 -38498.9
3950 3950 3950 299.668 13.8584 101284 0.996832 -32499.4 -38528
4000 4000 4000 301.994 -68.8379 101410 0.995598 -32514.8 -38590.2
4050 4050 4050 298.031 -6.96708 101526 0.994463 -32545.9 -38541.6
4100 4100 4100 296.878 -544.295 101627 0.99347 -32584.7 -38557.2
4150 4150 4150 291.995 -423.093 101638 0.99336 -32614.7 -38488.9
4200 4200 4200 294.662 -338.559 101564 0.994086 -32588.5 -38516.4
4250 4250 4250 294.871 254.818 101443 0.995276 -32501.7 -38433.8
4300 4300 4300 304.879 227.98 101357 0.996117 -32423 -38556.4
4350 4350 4350 303.063 168.44 101333 0.996349 -32401.7 -38498.6
4400 4400 4400 300.706 80.375 101351 0.996173 -32399 -38448.4
4450 4450 4450 300.887 122.501 101384 0.995855 -32399 -38452.1
4500 4500 4500 301.976 298.94 101442 0.995287 -32404.7 -38479.7
4550 4550 4550 299.234 -128.713 101534 0.994378 -32415.4 -38435.2
4600 4600 4600 295.518 -17.618 101618 0.993558 -32408.6 -38353.7
4650 4650 4650 300.154 -39.5092 101690 0.992857 -32374 -38412.3
4700 4700 4700 299.845 -15.6149 101762 0.992155 -32317.6 -38349.8
4750 4750 4750 304.621 -460.409 101815 0.991635 -32256.4 -38384.6
4800 4800 4800 302.399 -318.547 101790 0.991883 -32229.9 -38313.4
4850 4850 4850 302.668 -42.8697 101704 0.992723 -32231.1 -38320.1
4900 4900 4900 306.249 130.509 101602 0.993713 -32280.2 -38441.2
4950 4950 4950 304.176 -26.8506 101530 0.994424 -32382.1 -38501.3
5000 5000 5000 302.467 -19.4144 101471 0.994998 -32446.1 -38531
5050 5050 5050 292.619 177.771 101429 0.99541 -32471.9 -38358.6
5100 5100 5100 298.168 -18.3848 101418 0.995512 -32453.2 -38451.6
5150 5150 5150 295.782 -7.08652 101411 0.995583 -32400.8 -38351.2
5200 5200 5200 304.075 -46.3378 101395 0.995741 -32338.5 -38455.7
5250 5250 5250 301.407 97.406 101372 0.995973 -32321.4 -38385
5300 5300 5300 301.382 -165.399 101351 0.996174 -32329.3 -38392.4
5350 5350 5350 302.69 -274.523 101310 0.996576 -32359.3 -38448.6
5400 5400 5400 301.549 -75.9996 101252 0.997153 -32411.7 -38478.2
5450 5450 5450 297.954 1.25758 101191 0.997755 -32471.4 -38465.5
5500 5500 5500 298.993 10.4312 101130 0.998354 -32523.8 -38538.7
5550 5550 5550 298.395 139.405 101080 0.998846 -32577.1 -38580
5600 5600 5600 296.73 214.148 101058 0.999064 -32607.8 -38577.2
5650 5650 5650 302.243 316.004 101083 0.998812 -32623.7 -38704.1
5700 5700 5700 296.107 305.929 101173 0.997925 -32672.9 -38629.9
5750 5750 5750 295.111 92.5544 101316 0.996518 -32715.2 -38652.1
5800 5800 5800 295.603 -248.97 101455 0.995153 -32714.2 -38661
5850 5850 5850 295.058 261.882 101547 0.99425 -32677.4 -38613.2
5900 5900 5900 295.458 207.838 101643 0.993313 -32620.9 -38564.8
5950 5950 5950 300.845 -365.912 101734 0.992423 -32555.1 -38607.3
6000 6000 6000 295.456 -87.5459 101771 0.992065 -32498 -38441.8
6050 6050 6050 298.115 -195.184 101778 0.992 -32449.3 -38446.6
6100 6100 6100 304.005 -87.2668 101749 0.992283 -32414.4 -38530.2
6150 6150 6150 304.665 -346.024 101702 0.992733 -32400.9 -38530
6200 6200 6200 299.866 15.1294 101614 0.993597 -32409.9 -38442.5
6250 6250 6250 304.587 -330.272 101504 0.994675 -32439.1 -38566.7
6300 6300 6300 298.215 -272.484 101353 0.996155 -32508.4 -38507.8
6350 6350 6350 293.782 99.0146 101172 0.997941 -32565.8 -38476
6400 6400 6400 299.681 345.435 101016 0.999477 -32574.7 -38603.5
6450 6450 6450 300.953 236.464 100938 1.00026 -32552.6 -38607
6500 6500 6500 300.9 126.809 100914 1.00048 -32455.8 -38509.2
6550 6550 6550 302.263 198.23 100919 1.00044 -32361.6 -38442.3
6600 6600 6600 309.422 -191.319 100948 1.00015 -32339.6 -38564.4
6650 6650 6650 300.369 -38.839 100971 0.999921 -32364.8 -38407.4
6700 6700 6700 300.413 -595.769 100968 0.999954 -32411.5 -38455
6750 6750 6750 292.917 2.62285 100870 1.00092 -32453 -38345.7
6800 6800 6800 300.218 -3.99248 100739 1.00223 -32473.3 -38513
6850 6850 6850 298.699 22.5212 100610 1.00351 -32507.3 -38516.3
6900 6900 6900 299.58 249.646 100483 1.00478 -32558.2 -38585
6950 6950 6950 297.831 238.967 100388 1.00573 -32612.9 -38604.5
7000 7000 7000 296.738 421.745 100332 1.0063 -32687 -38656.6
7050 7050 7050 298.048 321.22 100338 1.00624 -32756.4 -38752.3
7100 7100 7100 292.478 94.4772 100397 1.00564 -32801.6 -38685.5
7150 7150 7150 294.45 -306.392 100465 1.00496 -32793.3 -38716.9
7200 7200 7200 293.876 51.8879 100495 1.00466 -32741.1 -38653.1
7250 7250 7250 295.54 292.131 100524 1.00437 -32696.9 -38642.4
7300 7300 7300 298.025 98.7532 100588 1.00373 -32672.3 -38667.8
7350 7350 7350 297.429 1.20894 100660 1.00301 -32648.6 -38632.1
7400 7400 7400 300.013 -92.5334 100717 1.00244 -32615 -38650.5
7450 7450 7450 299.027 39.1509 100762 1.002 -32568.1 -38583.8
7500 7500 7500 297.714 249.03 100819 1.00143 -32516.5 -38505.7
7550 7550 7550 304.135 7.66323 100909 1.00054 -32477.6 -38596.1
7600 7600 7600 304.033 437.601 101025 0.999392 -32474.7 -38591.1
7650 7650 7650 296.753 314.291 101209 0.997576 -32510.7 -38480.6
7700 7700 7700 297.101 -379.415 101417 0.995526 -32545.1 -38522.1
7750 7750 7750 296.753 -754.376 101551 0.99421 -32567.7 -38537.6
7800 7800 7800 298.468 -656.75 101564 0.994082 -32594 -38598.5
7850 7850 7850 296.544 -157.101 101478 0.994926 -32625.9 -38591.6
7900 7900 7900 299.852 138.58 101363 0.996059 -32652.7 -38685
7950 7950 7950 299.137 110.757 101262 0.997054 -32688.4 -38706.3
8000 8000 8000 296.035 -91.8477 101173 0.997929 -32713.2 -38668.7
8050 8050 8050 300.44 -20.4516 101074 0.998901 -32713.5 -38757.6
8100 8100 8100 293.596 280.721 100983 0.999801 -32684.1 -38590.5
8150 8150 8150 298.253 162.448 100924 1.00039 -32615.4 -38615.5
8200 8200 8200 302.313 203.734 100892 1.00071 -32543.6 -38625.4
8250 8250 8250 300.999 230.782 100899 1.00064 -32507.1 -38562.4
8300 8300 8300 302.132 417.254 100947 1.00016 -32494.5 -38572.6
8350 8350 8350 301.574 400.156 101066 0.998981 -32508.7 -38575.6
8400 8400 8400 298.842 0.71183 101234 0.99733 -32545.8 -38557.8
8450 8450 8450 295.104 -113.923 101382 0.995874 -32585.6 -38522.4
8500 8500 8500 295.395 -130.929 101493 0.994777 -32599.8 -38542.4
8550 8550 8550 296.913 128.138 101571 0.994021 -32585.3 -38558.4
8600 8600 8600 295.122 209.068 101652 0.993227 -32552.2 -38489.3
8650 8650 8650 298.868 6.46626 101749 0.99228 -32521.4 -38533.9
8700 8700 8700 299.875 -304.854 101836 0.991431 -32510.2 -38542.9
8750 8750 8750 299.496 -347.282 101877 0.991035 -32501.5 -38526.6
8800 8800 8800 297.169 -65.8028 101865 0.991149 -32482.8 -38461
8850 8850 8850 298.629 -263.972 101825 0.991536 -32453.6 -38461.3
8900 8900 8900 297.106 9.38589 101756 0.992208 -32415.7 -38392.7
8950 8950 8950 300.994 28.8056 101687 0.992888 -32378.2 -38433.5
9000 9000 9000 301.636 68.9122 101629 0.993447 -32345.8 -38413.9
9050 9050 9050 300.034 238.36 101590 0.993833 -32317.3 -38353.3
9100 9100 9100 304.245 -22.8151 101576 0.993968 -32286.9 -38407.5
9150 9150 9150 304.715 115.524 101561 0.994118 -32281.4 -38411.5
9200 9200 9200 301.984 -19.1988 101564 0.994084 -32323.7 -38398.9
9250 9250 9250 298.12 125.87 101579 0.99394 -32402.6 -38400.1
9300 9300 9300 296.123 -62.5513 101601 0.993724 -32466.3 -38423.5
9350 9350 9350 301.28 -478.687 101591 0.99382 -32503.1 -38564.1
9400 9400 9400 297.714 -550.752 101504 0.994677 -32524.7 -38514
9450 9450 9450 296.941 -263.451 101336 0.996326 -32519.7 -38493.4
9500 9500 9500 298.271 -82.6749 101125 0.998402 -32483.2 -38483.6
9550 9550 9550 297.252 457.224 100916 1.00047 -32407.2 -38387.2
9600 9600 9600 309.122 489.849 100777 1.00185 -32354.4 -38573.1
9650 9650 9650 302.985 447.255 100742 1.0022 -32369.9 -38465.2
9700 9700 9700 306.867 159.782 100787 1.00175 -32405 -38578.4
9750 9750 9750 302.512 -22.7034 100870 1.00092 -32444 -38529.8
9800 9800 9800 299.712 -209.401 100960 1.00004 -32469.7 -38499.2
9850 9850 9850 296.742 151.461 101019 0.999447 -32482 -38451.7
9900 9900 9900 297.995 340.847 101095 0.998699 -32475.1 -38470
9950 9950 9950 298.133 133.423 101208 0.997584 -32432.6 -38430.3
10000 10000 10000 302.856 572.213 101342 0.996266 -32359.5 -38452.2
10050 10050 10050 300.811 306.811 101547 0.994253 -32309.4 -38361
10100 10100 10100 301.984 -369.91 101773 0.992048 -32294.1 -38369.2
10150 10150 10150 303.655 -334.894 101927 0.990546 -32298.7 -38407.4
10200 10200 10200 301.734 -217.464 102003 0.989811 -32314.5 -38384.6
10250 10250 10250 301 -219.643 102013 0.989714 -32341.5 -38396.9
10300 10300 10300 299.304 -349.363 101967 0.990161 -32372 -38393.2
10350 10350 10350 303.86 -60.3671 101871 0.991088 -32403.3 -38516.2
10400 10400 10400 301.58 37.5342 101770 0.992071 -32450.1 -38517.1
10450 10450 10450 298.257 -254.085 101673 0.993025 -32492.4 -38492.6
10500 10500 10500 295.287 -0.734193 101534 0.994376 -32512.2 -38452.6
10550 10550 10550 297.534 75.231 101395 0.995746 -32501.3 -38487
10600 10600 10600 296.415 51.8726 101279 0.99688 -32468.7 -38431.9
10650 10650 10650 295.988 -135.14 101168 0.997975 -32431 -38385.6
10700 10700 10700 303.15 156.844 101042 0.999219 -32404.6 -38503.3
10750 10750 10750 297.833 343.617 100944 1.00019 -32405.8 -38397.5
10800 10800 10800 302.321 197.429 100893 1.0007 -32421.4 -38503.4
10850 10850 10850 299.9 -10.8488 100878 1.00085 -32452.5 -38485.8
10900 10900 10900 297.286 -84.1818 100868 1.00095 -32486.7 -38467.3
10950 10950 10950 299.732 -0.665505 100858 1.00105 -32505.6 -38535.4
