# Time-averaged data for fix save_thermo
# TimeStep v_vstep v_vtime v_vtemp v_vpress v_vvol v_vden v_vetot v_vpe
0 0 0 298.578 -2076.72 103528 0.975224 -33844.6 -39851.3
50 50 50 287.878 -511.115 103421 0.976237 -33651.7 -39443.1
100 100 100 294.316 -380.703 103213 0.978201 -33369.3 -39290.2
150 150 150 301.033 111.263 102955 0.980657 -33034.1 -39090.1
200 200 200 309.199 549.924 102724 0.982861 -32673.8 -38894.1
250 250 250 317.358 296.864 102572 0.984316 -32303.5 -38687.9
300 300 300 320.626 513.55 102477 0.985226 -31927 -38377.2
350 350 350 329.772 628.582 102458 0.985411 -31548.1 -38182.3
400 400 400 332.745 827.138 102547 0.984557 -31176.4 -37870.4
450 450 450 340.945 589.366 102749 0.982625 -30812.3 -37671.2
500 500 500 345.03 465.082 103029 0.979947 -30460.7 -37401.8
550 550 550 349.057 36.2631 103355 0.976859 -30115 -37137.1
600 600 600 354.075 7.90411 103649 0.974091 -29788.9 -36912
650 650 650 356.133 22.6027 103907 0.971672 -29479.3 -36643.8
700 700 700 362.075 -65.6383 104133 0.969558 -29180.5 -36464.6
750 750 750 363.977 -110.27 104318 0.967844 -28906.6 -36228.9
800 800 800 359.357 193.468 104469 0.966441 -28664.3 -35893.7
850 850 850 368.627 -15.4994 104606 0.965175 -28439.7 -35855.5
900 900 900 373.281 89.1172 104721 0.964114 -28246.4 -35755.8
950 950 950 378.686 103.569 104839 0.963029 -28105 -35723.2
1000 1000 1000 373.194 105.016 104977 0.961763 -28022.3 -35530
1050 1050 1050 374.178 412.99 105128 0.960381 -27991.8 -35519.4
1100 1100 1100 369.614 137.545 105310 0.958728 -28009.1 -35444.8
1150 1150 1150 368.785 -87.9152 105488 0.957106 -28052.1 -35471.1
1200 1200 1200 367.27 -255.067 105644 0.955691 -28078.8 -35467.4
1250 1250 1250 366.405 -29.1924 105762 0.954624 -28068.6 -35439.8
1300 1300 1300 366.043 -320.002 105854 0.953797 -28035.7 -35399.6
1350 1350 1350 369.006 -273.851 105892 0.953454 -27984.6 -35408.1
1400 1400 1400 371.672 -43.1096 105880 0.953561 -27925.5 -35402.6
1450 1450 1450 369.622 40.9143 105861 0.953736 -27877.3 -35313.1
1500 1500 1500 370.281 -273.48 105842 0.953904 -27826.9 -35276
1550 1550 1550 370.222 -205.88 105787 0.954405 -27785.4 -35233.4
1600 1600 1600 372.115 -199.387 105699 0.955193 -27739.7 -35225.7
1650 1650 1650 369.641 -304.153 105586 0.95622 -27696.2 -35132.4
1700 1700 1700 374.334 -225.326 105431 0.957625 -27665.3 -35195.9
1750 1750 1750 369.177 579.451 105262 0.959164 -27660.7 -35087.6
1800 1800 1800 372.349 453.007 105167 0.960025 -27677.2 -35167.9
1850 1850 1850 366.18 330.093 105147 0.960208 -27707.4 -35074
1900 1900 1900 370.941 -72.01 105166 0.960035 -27727.4 -35189.9
1950 1950 1950 376.755 71.4668 105185 0.959864 -27756.7 -35336
2000 2000 2000 372.002 20.3729 105224 0.959512 -27812.1 -35295.9
2050 2050 2050 367.348 -121.054 105267 0.959113 -27883.3 -35273.4
2100 2100 2100 362.25 -66.8721 105285 0.95895 -27933.8 -35221.3
2150 2150 2150 369.244 -210.082 105275 0.959041 -27940.7 -35369
2200 2200 2200 366.187 -1.13526 105247 0.9593 -27914 -35280.8
2250 2250 2250 368.641 7.85764 105216 0.959578 -27856.5 -35272.6
2300 2300 2300 374.603 -240.343 105192 0.959802 -27782.4 -35318.5
2350 2350 2350 369.386 12.4871 105150 0.960183 -27715.7 -35146.8
2400 2400 2400 368.125 309.874 105105 0.960594 -27652.7 -35058.5
2450 2450 2450 372.583 159.652 105094 0.960692 -27591.8 -35087.2
2500 2500 2500 372.079 -73.3063 105103 0.960617 -27564.9 -35050.2
2550 2550 2550 370.727 -259.222 105099 0.960652 -27567.3 -35025.4
2600 2600 2600 371.54 -35.7574 105073 0.960891 -27579.2 -35053.6
2650 2650 2650 365.036 190.104 105043 0.961165 -27598 -34941.6
2700 2700 2700 370.045 39.7427 105019 0.961383 -27613.8 -35058.2
2750 2750 2750 368.202 336.257 105007 0.961494 -27640.2 -35047.5
2800 2800 2800 367.6 321.431 105032 0.961263 -27684 -35079.2
2850 2850 2850 368.082 54.3237 105089 0.960737 -27737.3 -35142.2
2900 2900 2900 370.163 38.9623 105159 0.960098 -27775.9 -35222.6
2950 2950 2950 364.407 24.2476 105246 0.959309 -27773.3 -35104.2
3000 3000 3000 367.521 272.928 105345 0.958403 -27735 -35128.6
3050 3050 3050 375.702 -357.781 105473 0.957247 -27681.8 -35240
3100 3100 3100 372.465 63.0252 105571 0.956351 -27653.1 -35146.2
3150 3150 3150 367.62 199.793 105662 0.955532 -27657 -35052.6
3200 3200 3200 371.434 -187.288 105767 0.954583 -27673 -35145.3
3250 3250 3250 367.589 -62.7066 105860 0.953746 -27698.5 -35093.4
3300 3300 3300 367.543 -231.585 105933 0.953085 -27717.4 -35111.5
3350 3350 3350 366.475 -351.876 105982 0.952643 -27701.5 -35074.1
3400 3400 3400 369.404 -477.777 105979 0.952671 -27641.1 -35072.6
3450 3450 3450 368.131 94.7733 105911 0.953285 -27558.1 -34963.9
3500 3500 3500 375.056 51.1564 105845 0.953877 -27471.5 -35016.7
3550 3550 3550 381.147 54.2972 105793 0.954349 -27415.8 -35083.6
3600 3600 3600 378.986 198.861 105766 0.954592 -27440.2 -35064.5
3650 3650 3650 369.196 307.037 105788 0.954391 -27526.7 -34954
3700 3700 3700 369.822 -272.798 105842 0.953903 -27610.2 -35050.1
3750 3750 3750 364.584 -342.551 105875 0.953607 -27653.5 -34988
3800 3800 3800 367.586 -56.146 105869 0.953662 -27638.3 -35033.2
3850 3850 3850 372.582 309.011 105862 0.953728 -27599.3 -35094.7
3900 3900 3900 376.72 439.807 105915 0.953248 -27570.2 -35148.8
3950 3950 3950 373.604 120.397 106040 0.952122 -27582.8 -35098.8
4000 4000 4000 364.182 -50.3212 106187 0.950809 -27627.3 -34953.7
4050 4050 4050 369.223 -238.933 106319 0.949622 -27651.5 -35079.3
4100 4100 4100 368.758 -265.24 106424 0.948693 -27648.4 -35066.9
4150 4150 4150 367.144 -276.793 106481 0.948183 -27613 -34999
4200 4200 4200 367.312 -22.9792 106494 0.948069 -27547.2 -34936.6
4250 4250 4250 374.132 -362.317 106484 0.948158 -27489 -35015.6
4300 4300 4300 367.974 56.933 106432 0.94862 -27463.9 -34866.6
4350 4350 4350 369.962 402.177 106378 0.949096 -27442.9 -34885.6
4400 4400 4400 369.179 284.773 106374 0.949132 -27405 -34831.9
4450 4450 4450 373.707 105.041 106413 0.94879 -27356.2 -34874.3
4500 4500 4500 376.048 -222.55 106470 0.948277 -27328.2 -34893.3
4550 4550 4550 367.57 -36.4885 106516 0.947868 -27309.7 -34704.2
4600 4600 4600 372.913 -404.03 106528 0.947765 -27295.2 -34797.3
4650 4650 4650 376.746 -305.552 106480 0.948188 -27313.7 -34892.9
4700 4700 4700 368.475 -169.92 106392 0.948979 -27366.1 -34778.9
4750 4750 4750 364.143 125.842 106262 0.950133 -27441.4 -34767
4800 4800 4800 365.203 -129.428 106115 0.951453 -27496.3 -34843.3
4850 4850 4850 370.65 -484.227 105931 0.953101 -27523.2 -34979.8
4900 4900 4900 373.933 -171.63 105679 0.955376 -27546.5 -35069.1
4950 4950 4950 370.284 -79.3044 105393 0.957966 -27599.6 -35048.8
5000 5000 5000 365.297 223.494 105098 0.960657 -27691.5 -35040.3
5050 5050 5050 368.475 459.754 104829 0.963125 -27767.1 -35179.9
5100 5100 5100 363.806 378.343 104625 0.965002 -27793.6 -35112.4
5150 5150 5150 366.034 383.786 104480 0.966339 -27784.8 -35148.5
5200 5200 5200 369.539 390.619 104398 0.967098 -27769 -35203.2
5250 5250 5250 373.464 285.851 104386 0.967216 -27759 -35272.2
5300 5300 5300 367.091 277.25 104428 0.966819 -27762.3 -35147.3
5350 5350 5350 367.258 97.668 104510 0.966066 -27756 -35144.4
5400 5400 5400 368.306 -89.8786 104611 0.965134 -27719.2 -35128.6
5450 5450 5450 367.605 -132.925 104710 0.964221 -27644.9 -35040.2
5500 5500 5500 367.841 -136.597 104786 0.963523 -27577.3 -34977.3
5550 5550 5550 368.767 -177.642 104837 0.963051 -27542.2 -34960.9
5600 5600 5600 368.473 44.5783 104861 0.962834 -27520.6 -34933.4
5650 5650 5650 375.754 77.4473 104880 0.962655 -27517.6 -35076.8
5700 5700 5700 370.581 -136.177 104917 0.962312 -27536.4 -34991.6
5750 5750 5750 372.265 -209.339 104943 0.962078 -27553.5 -35042.5
5800 5800 5800 367.057 0.941852 104949 0.962021 -27567.8 -34952.1
5850 5850 5850 366.073 36.2705 104945 0.962064 -27566.2 -34930.6
5900 5900 5900 372.388 242.298 104933 0.962173 -27540.9 -35032.4
5950 5950 5950 370.318 492.723 104959 0.961929 -27513.5 -34963.3
6000 6000 6000 373.63 254.668 105046 0.961131 -27492.3 -35008.8
6050 6050 6050 377.352 50.6858 105172 0.959984 -27487.1 -35078.5
6100 6100 6100 380.34 132.228 105319 0.958647 -27529.7 -35181.2
6150 6150 6150 370.596 22.0199 105493 0.957059 -27634.2 -35089.6
6200 6200 6200 364.217 -278.521 105675 0.955413 -27699.4 -35026.6
6250 6250 6250 364.579 -278.217 105817 0.954128 -27696.8 -35031.2
6300 6300 6300 364.933 -41.4953 105910 0.953292 -27655.4 -34996.9
6350 6350 6350 366.849 -72.2964 105977 0.952691 -27584.2 -34964.3
6400 6400 6400 376.962 -204.312 106023 0.952275 -27522.3 -35105.8
6450 6450 6450 368.547 89.3062 106061 0.951934 -27502.3 -34916.6
6500 6500 6500 370.566 42.5774 106108 0.951512 -27492.6 -34947.4
6550 6550 6550 372.852 171.854 106155 0.951091 -27500.6 -35001.4
6600 6600 6600 367.197 -42.8112 106211 0.950594 -27532.5 -34919.6
6650 6650 6650 370.632 -385.863 106262 0.95014 -27544.5 -35000.6
6700 6700 6700 368.682 -85.4747 106265 0.950109 -27538.1 -34955.1
6750 6750 6750 372.201 96.8105 106244 0.950301 -27542.7 -35030.4
6800 6800 6800 371.149 -19.2699 106237 0.95036 -27601.5 -35068
6850 6850 6850 368.046 -33.3001 106231 0.950417 -27709.5 -35113.6
6900 6900 6900 370.838 -432.168 106213 0.950572 -27779.3 -35239.7
6950 6950 6950 360.52 -107.938 106155 0.951096 -27803.3 -35056.1
7000 7000 7000 367.854 -103.199 106075 0.951809 -27758.9 -35159.2
7050 7050 7050 365.355 -94.2475 105981 0.952655 -27671.8 -35021.8
7100 7100 7100 369.251 3.92732 105877 0.953593 -27598.1 -35026.5
7150 7150 7150 368.201 148.873 105784 0.954428 -27554.7 -34962
7200 7200 7200 371.483 136.095 105715 0.955051 -27528.8 -35002.1
7250 7250 7250 368.059 -43.4377 105668 0.955473 -27518.6 -34923.1
7300 7300 7300 367.736 18.9008 105614 0.955967 -27513.9 -34911.9
7350 7350 7350 372.426 -24.595 105562 0.956434 -27511.1 -35003.4
7400 7400 7400 371.219 -6.60903 105526 0.956759 -27505.5 -34973.5
7450 7450 7450 371.701 114.018 105496 0.957036 -27496.1 -34973.8
7500 7500 7500 368.465 -221.506 105478 0.957201 -27478.3 -34890.8
7550 7550 7550 368.352 20.2286 105434 0.9576 -27438.2 -34848.5
7600 7600 7600 372.012 -64.0504 105381 0.958083 -27393.2 -34877.2
7650 7650 7650 371.348 -297.671 105324 0.958594 -27344.2 -34814.8
7700 7700 7700 377.732 -196.054 105237 0.959388 -27309.4 -34908.4
7750 7750 7750 372.602 -30.845 105131 0.960362 -27306.1 -34801.9
7800 7800 7800 374.271 -100.828 105012 0.961448 -27350.2 -34879.6
7850 7850 7850 369.312 138.564 104889 0.962576 -27444.8 -34874.4
7900 7900 7900 372.381 383.987 104793 0.963454 -27524.9 -35016.3
7950 7950 7950 368.023 478.811 104757 0.963789 -27573 -34976.7
8000 8000 8000 371.621 275.989 104787 0.963508 -27602.3 -35078.4
8050 8050 8050 371.381 169.515 104866 0.962783 -27624.5 -35095.7
8100 8100 8100 369.477 -76.9854 104968 0.961846 -27641.7 -35074.6
8150 8150 8150 367.62 -140.251 105052 0.961079 -27657.2 -35052.7
8200 8200 8200 366.331 -105.518 105111 0.960544 -27654.4 -35024
8250 8250 8250 367.747 -143.604 105160 0.96009 -27613.8 -35011.9
8300 8300 8300 370.463 -91.5552 105192 0.959805 -27519.7 -34972.5
8350 8350 8350 367.873 382.94 105214 0.959601 -27396 -34796.6
8400 8400 8400 373.89 89.6671 105279 0.959005 -27346.9 -34868.6
8450 8450 8450 369.977 -274.523 105359 0.958279 -27342.8 -34785.8
8500 8500 8500 371.665 -31.4588 105411 0.957811 -27351.1 -34828.1
8550 8550 8550 369.926 251.623 105461 0.95735 -27366.2 -34808.2
8600 8600 8600 372.097 50.6406 105530 0.956724 -27416.9 -34902.5
8650 8650 8650 368.453 -100.761 105597 0.956116 -27505.9 -34918.2
8700 8700 8700 365.907 -890.181 105621 0.955906 -27569.5 -34930.6
8750 8750 8750 370.186 -579.075 105521 0.956806 -27582.6 -35029.8
