0,0,6967438.5,10282.101,0.987204,10282.101,0
100,35838.726,545985.27,4686.2203,0.987204,-2257.6279,6943.8482
200,22400.552,322202.35,1876.1795,0.987204,-2463.9869,4340.1664
300,14492.701,234078.6,133.97599,0.987204,-2674.0233,2807.9993
400,9167.6286,213180.75,-994.65205,0.987204,-2770.9044,1776.2524
500,5849.0166,161507.61,-1750.0924,0.987204,-2883.3549,1133.2625
600,4200.4379,89077.28,-2229.7273,0.987204,-3043.5733,813.84598
700,2965.4477,56484.335,-2572.6652,0.987204,-3147.2285,574.56337
800,2115.9595,24644.466,-2767.5715,0.987204,-3177.5443,409.97277
900,1537.0316,54474.331,-2903.9905,0.987204,-3201.7944,297.80395
1000,1180.1879,25278.603,-3001.4368,0.987204,-3230.1014,228.66454
1100,867.38724,29127.181,-3067.6645,0.987204,-3235.7231,168.05858
1200,721.19791,4910.6109,-3135.8024,0.987204,-3275.5364,139.73401
1300,729.06688,-320.14282,-3167.4178,0.987204,-3308.6764,141.25864
1400,547.65845,-7626.0986,-3200.4369,0.987204,-3306.5472,106.11028
1500,528.74888,-9809.7418,-3218.0948,0.987204,-3320.5413,102.4465
1600,432.15158,-12954.662,-3238.0297,0.987204,-3321.7602,83.730515
1700,483.62157,-2863.3508,-3246.8681,0.987204,-3340.571,93.702962
1800,402.7981,20795.743,-3265.6305,0.987204,-3343.6737,78.043201
1900,339.72557,-12448.987,-3281.2625,0.987204,-3347.0852,65.822731
2000,419.0455,-19595.311,-3279.2431,0.987204,-3360.4343,81.191178
2100,341.48342,-17383.766,-3285.8164,0.987204,-3351.9797,66.163319
2200,352.68992,6033.0259,-3287.936,0.987204,-3356.2706,68.334609
2300,310.64966,28468.968,-3301.4512,0.987204,-3361.6404,60.189196
2400,322.50434,-954.79338,-3298.1595,0.987204,-3360.6456,62.486071
2500,315.30301,-30226.632,-3302.9798,0.987204,-3364.0706,61.090795
2600,311.96238,-4176.643,-3309.5216,0.987204,-3369.9651,60.443539
2700,313.49117,-16644.964,-3307.7519,0.987204,-3368.4917,60.739746
2800,320.94139,-8084.6245,-3300.5337,0.987204,-3362.717,62.183245
2900,336.90865,6753.5406,-3306.7248,0.987204,-3372.0017,65.276945
3000,288.01821,21160.992,-3313.4954,0.987204,-3369.2997,55.804293
3100,263.10256,-25414.587,-3317.7767,0.987204,-3368.7535,50.976819
3200,329.01279,-49589.371,-3318.8793,0.987204,-3382.6264,63.747101
3300,297.74683,9892.5608,-3316.2312,0.987204,-3373.9205,57.689238
