temp, dens_tip4p_2005
249.9102333931777, 0.9908251062090051
259.82046678635544, 0.9965346179142152
269.9461400359067, 1.0010561530120696
279.8563734290844, 0.9994785360044084
289.9820466786355, 0.9993268037755302
297.9533213644524, 0.9979855306895142
300.10771992818667, 0.9965612101605134
314.9730700179533, 0.9913432995005066
330.05385996409336, 0.9841453330252236
339.96409335727105, 0.9777360328492454
350.08976660682225, 0.9714852907193772
359.99999999999994, 0.9668977727216168
370.12567324955114, 0.9586668325719465
