temp, alpha
247.88664830771964, -94.9926978768766e-5
260.64777471795327, -41.96805543217554e-5
273.0023985075953, -9.430150128808748e-5
285.5314915163898, 12.075401972106249e-5
298.05347783601314, 28.32768943768319e-5
310.57013413875814, 40.64002842675667e-5
323.0835924313761, 50.588398329928054e-5
335.5938527138669, 58.17279914719731e-5
348.1012703206894, 63.65589411033133e-5
360.60691125521896, 67.8256729146309e-5
